,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
420,420,shallots raw,18,0.061,0.041,0.015,0.074,4.2,2,0.6,0.8,0,0.044,20,0,0,0.04,0.083,0,0.07,0.089,0.003,0.016,2,0,0.025,0.007,9.3,0.004,0.3,5.3,0.046,15,83.5,0.091,5.833
421,421,bamboo shoots raw,49,0.5,0.1,0.054,0.2,9.4,5.4,4.7,4,0,0.067,163.8,0,0,0.3,0.087,0,0.1,1.1,0.3,0.4,7.2,0,1.8,0,23.4,0.3,0.9,5.4,0.5,106.2,959.4,0.001,19.3
422,422,jute cooked,32,0.2,0.004,0.022,0.022,6.3,0.9,3.2,1.7,0,0.043,75.8,0,0.021,0.076,0,0.2,0.8,0.02,0.5,28.7,0,0.083,0.059,183.6,0.2,2.7,53.9,0.1,62.6,478.5,0.052,0.7,226.4
423,423,red lettuce,4,0.08,0.036,0.056,0.024,0.6,0.1,0.4,0.3,0,0.057,26.8,0,0,0.041,0.007,0,0.061,0.097,0.1,0.026,1,0,0.067,0.021,9.2,0.093,0.3,3.4,0.095,7.8,52.4,0.044,1.595
424,424,broccoli cooked,98,1.1,0.2,0.1,0.5,20.1,3.9,6.7,9.2,0,0.1,249.9,0,0,0.2,0.3,0,0.3,1.5,1.7,0.6,181.7,0,4.1,0.4,112,0.2,1.9,58.8,0.5,187.6,820.4,0.008,38.3
425,425,romanesco raw,20,0.2,0.038,0.085,0.006,3.9,1.9,1.9,2,0,0.025,57.5,0,0.025,0.091,0,0.094,0.5,0.4,0.1,56.4,0,0.095,0.085,21.1,0.051,0.5,12.8,0.2,39.7,192,0.087,0.4,86
426,426,eggplant raw,115,0.8,0.2,0.047,0.3,26.9,16.2,4.5,13.7,0,0.028,422.7,0,0.2,0.1,0,0.2,3,1.3,0.4,10.1,0,1.4,0.052,41.2,0.4,1.1,64.1,1.1,109.9,1048.8,0.074,0.7,98.3
427,427,leeks raw,54,0.3,0.049,0.076,0.1,12.6,3.5,1.3,1.6,0,0.003,73.9,0,0,0.056,0.087,0,0.038,0.4,0.1,0.2,10.7,0,0.8,0.011,52.5,0.1,1.9,24.9,0.4,31.2,160.2,0.03,16.132
428,428,lemongrass citronella,5,0.076,0.067,0.091,0.082,1.2,0,0.038,0,0,0.024,3.4,0,0.05,0.011,0,0.097,0.018,0.082,0.034,0.1,0,0,0,3.1,0.082,0.4,2.9,0.3,4.8,34.7,0.031,0.1,4.937
429,429,pumpkin cooked,49,0.2,0.019,0.1,0.085,12,5.1,1.8,2.7,0,0.006,229.5,0,0,0.004,0.057,0,0.2,1,0.5,0.1,11.5,0,2,0.098,36.8,0.2,1.4,22.1,0.2,73.5,563.5,0.054,17.005
